Gene,mean_expression,median_expression,category
ENSG00000144802,5192.14440433213,4580.0,low
ENSG00000031823,4798.84476534296,4596.0,low
ENSG00000058272,5038.6534296028885,4687.0,low
ENSG00000103275,4960.519855595668,4751.0,low
ENSG00000170606,5146.667870036101,4825.0,low
ENSG00000120690,5285.014440433213,4884.0,low
ENSG00000171700,5656.595667870036,5435.0,low
ENSG00000171681,5828.992779783393,5452.0,low
ENSG00000121774,5792.086642599278,5458.0,low
ENSG00000126561,5600.104693140795,5487.0,low
ENSG00000105968,5886.259927797834,5592.0,low
ENSG00000141027,5955.610108303249,5607.0,low
ENSG00000005483,6036.548736462094,5654.0,low
ENSG00000055609,6160.880866425993,5777.0,low
ENSG00000131507,6181.570397111914,5871.0,medium
ENSG00000083896,6132.361010830325,5872.0,medium
ENSG00000198833,6603.068592057762,5925.0,medium
ENSG00000101294,6540.1768953068595,5954.0,medium
ENSG00000129675,6449.411552346571,6125.0,medium
ENSG00000124486,6619.646209386282,6178.0,medium
ENSG00000164548,6749.223826714801,6232.0,medium
ENSG00000104529,6747.862815884477,6336.0,medium
ENSG00000119396,6547.84476534296,6348.0,medium
ENSG00000125944,6729.913357400722,6399.0,medium
ENSG00000125107,6852.675090252707,6416.0,medium
ENSG00000135905,6938.97833935018,6476.0,medium
ENSG00000078304,7030.483754512636,6509.0,medium
ENSG00000164754,6970.007220216607,6546.0,medium
ENSG00000139218,7116.682310469314,6652.0,medium
ENSG00000254999,6952.397111913358,6689.0,medium
ENSG00000136527,7252.303249097473,6761.0,medium
ENSG00000145907,7333.328519855596,6811.0,medium
ENSG00000124831,7304.086642599278,6900.0,medium
ENSG00000110367,7333.996389891697,6905.0,medium
ENSG00000132485,7907.851985559567,7242.0,medium
ENSG00000125304,7484.895306859205,7244.0,medium
ENSG00000152818,7959.3718411552345,7259.0,medium
ENSG00000147677,7812.422382671481,7276.0,medium
ENSG00000005810,7881.259927797834,7329.0,medium
ENSG00000080503,8104.960288808665,7494.0,medium
ENSG00000185811,8115.028880866426,7633.0,medium
ENSG00000169554,8159.097472924188,7648.0,medium
ENSG00000082898,8324.169675090252,7743.0,medium
ENSG00000160633,8282.992779783393,7865.0,medium
ENSG00000197157,8432.249097472924,8061.0,medium
ENSG00000147168,8444.620938628159,8088.0,medium
ENSG00000054118,8932.873646209386,8193.0,medium
ENSG00000170348,8515.747292418773,8223.0,medium
ENSG00000115415,9927.108303249097,8244.0,medium
ENSG00000067082,9147.68953068592,8269.0,medium
ENSG00000117676,9043.10108303249,8492.0,medium
ENSG00000047410,8869.20938628159,8589.0,medium
ENSG00000133226,9178.574007220217,8741.0,medium
ENSG00000163902,9450.86642599278,9010.0,medium
ENSG00000152601,9853.397111913357,9282.0,medium
ENSG00000048740,9954.815884476535,9318.0,medium
ENSG00000090863,10153.115523465704,9635.0,medium
ENSG00000090060,10416.776173285198,9792.0,medium
ENSG00000138071,10801.12274368231,9852.0,medium
ENSG00000104408,10862.27797833935,10019.0,medium
ENSG00000070831,10653.54512635379,10098.0,medium
ENSG00000166501,10758.407942238267,10204.0,medium
ENSG00000134516,11151.046931407942,10684.0,medium
ENSG00000116489,11352.653429602888,10692.0,medium
ENSG00000187239,11494.584837545126,10780.0,medium
ENSG00000115875,12047.83393501805,11008.0,medium
ENSG00000109861,12704.862815884477,11247.0,medium
ENSG00000149781,11831.339350180506,11321.0,medium
ENSG00000123338,12089.870036101083,11634.0,medium
ENSG00000092010,12490.819494584837,11642.0,high
ENSG00000100664,12262.519855595669,11710.0,high
ENSG00000170776,13355.92057761733,12299.0,high
ENSG00000138668,12942.115523465704,12336.0,high
ENSG00000087365,12985.75451263538,12386.0,high
ENSG00000141367,13310.808664259928,12537.0,high
ENSG00000003756,14229.501805054151,12923.0,high
ENSG00000086758,13682.42238267148,13051.0,high
ENSG00000197102,14090.162454873645,13299.0,high
ENSG00000069424,14288.613718411552,13620.0,high
