species,ENSG00000183283,ENSG00000141367,ENSG00000221983,ENSG00000109475,ENSG00000165119,ENSG00000170776,ENSG00000127603,ENSG00000189403,ENSG00000138668,ENSG00000152795,ENSG00000122026,ENSG00000197111,ENSG00000159140,ENSG00000131236,ENSG00000182944,ENSG00000081237,ENSG00000196531,ENSG00000087365,ENSG00000116754,ENSG00000107099,ENSG00000092010,ENSG00000265681,ENSG00000174444,ENSG00000105193,ENSG00000122406,ENSG00000215301,ENSG00000149806,ENSG00000180353,ENSG00000104894,ENSG00000197043,ENSG00000063177,ENSG00000003756,ENSG00000122566,ENSG00000069424,ENSG00000108107,ENSG00000130402,ENSG00000108654,ENSG00000147162,ENSG00000086758,ENSG00000100664,ENSG00000136942,ENSG00000100650,ENSG00000131469,ENSG00000147065,ENSG00000115524,ENSG00000197102,ENSG00000213719,ENSG00000197694,ENSG00000204628,ENSG00000145425,ENSG00000104824,ENSG00000083845,ENSG00000089280,ENSG00000188846,ENSG00000184640,ENSG00000131051
"""Frog""",0.0475943167680454,0.0561481318276332,0.0205023232073539,0.0176125154193522,0.0404474983378538,0.0658537827300534,0.1279227763348509,0.03581317487164,0.0875937807445707,0.0390284699942622,0.0176286136810197,0.030848964190983,0.0617142056986525,0.0580019466463937,0.0480042650857771,0.0360120377759655,0.0101494977951607,0.0599727375669978,0.0378701623430218,0.0924458077851762,0.0328217305899823,0.0161856306620894,0.0196603479001525,0.0193127536723841,0.021373786614291,0.0387918373266917,0.100603011353975,0.0605731651213951,0.0545284588230705,0.0505623381480213,0.0171885985297647,0.0783905741012083,0.0689513257068588,0.0572189861413615,0.0196351477243717,0.0600861173337233,0.0198466522133809,0.1183353777679903,0.0583475249095077,0.0578235747841753,0.0191868239473984,0.0274999545917222,0.0192764841092225,0.0416909222527362,0.0768007401769574,0.1614012805996138,0.0315489871566443,0.1096922885173135,0.0229001083336407,0.0214362655831021,0.0485195520923855,0.0178080260557639,0.033128061241976,0.0239042651470456,0.0434918002178826,0.173621377692251
"""Human""",0.0259132370090697,0.0535351477670889,0.0175058323506818,0.0122992828026437,0.0253307112583987,0.0232059401378468,0.0257897350830408,0.0174989027185894,0.0398123600227383,0.0288116564115062,0.017702585112309,0.030278727202329,0.0319786485843763,0.0265008683996603,0.0421007979868448,0.0104096306819844,0.0186586986409308,0.0395825186497238,0.0327376844649828,0.022922368506823,0.023944963224305,0.016582549726189,0.032148019309754,0.0170625963544482,0.0139539153775426,0.035967828461358,0.0120395974990983,0.0252275627251291,0.0259632586472551,0.0258200021047854,0.0145881248117618,0.0858503277252289,0.0437898883235226,0.0399843047496729,0.0089068957491279,0.0346765794134336,0.0240610135749748,0.0340929543769507,0.0511476096109095,0.0282948764935148,0.0156434777527704,0.04219886270402,0.0243726560885991,0.0206932197135538,0.035862272792992,0.0531637512982002,0.0187087073499975,0.0347722840087501,0.0428346010338503,0.0121677757046533,0.059306916458029,0.0151248015497362,0.0324434725748619,0.0153839780189642,0.0266440697456544,0.0221321765867377
"""Macaque""",0.104173877265211,0.0480114340468435,0.015813954606759,0.0149565605616477,0.0224685038474702,0.0324659543375921,0.0343089500544742,0.0198389231060577,0.0426480604484378,0.0329342630820573,0.0327121902052536,0.0343495969968128,0.0418761047135465,0.0435334092574241,0.0508263259837498,0.019529891573963,0.0219063713342571,0.0312539003452351,0.0312085239497564,0.0299837657778354,0.0261084082636084,0.0237444843557172,0.0282173041857107,0.0138951305576728,0.0135432644133675,0.0624566852706648,0.017276513007179,0.0400587371419983,0.0318818107802626,0.0388698370079323,0.0115790192675178,0.0487497224306591,0.0181318817920834,0.0613513108931685,0.014997622170478,0.0504786771930161,0.0356189477234032,0.0785561208425249,0.042980418805587,0.044046417493499,0.0346409756483038,0.0540568655944335,0.0176377049561007,0.0433016964308883,0.0555505633825394,0.0463526583885691,0.0374792032724455,0.0541365880596339,0.017198142429336,0.0112710166925087,0.0461659405899209,0.0122000249323059,0.0485032469798293,0.060702833739755,0.0553721910243872,0.0449850667470105
"""Mouse""",0.0474526966350588,0.0474409375289568,0.021471955414016,0.0162900764860178,0.0449438555556445,0.0315209515144682,0.0335927113026293,0.0367918815166577,0.07403260484785,0.0467503439918032,0.0252771684544173,0.0250503282513444,0.0468189552879707,0.0612045170885774,0.0366953817465672,0.0220380826140056,0.0296761211224642,0.0438389115717251,0.0366642666299188,0.0287562531079571,0.1957974154532388,0.0227513924859208,0.0193646082584375,0.0134286403951877,0.0429991332566301,0.0522435645649168,0.0193191037656003,0.0484410232789282,0.0305212214288072,0.0385829611324474,0.020510124507981,0.0366795835956967,0.0267545014595439,0.0449516217277391,0.0290591136680171,0.0577340585257576,0.0237382322478721,0.034592053162613,0.047542353033371,0.0278230016025798,0.0248201559777307,0.0479964109520461,0.0492476321159013,0.0381689973902321,0.0425764543505187,0.0520336055846478,0.0214500972263184,0.0415314367839544,0.0174775857237975,0.0167851112850464,0.0324396773178795,0.0178088461349324,0.0503428750101237,0.0492476321159013,0.03394150397743,0.0282939582740899
"""Pig""",0.0310489287938518,0.0243839732761393,0.0129665955105494,0.0100395447629417,0.0166846610064888,0.0303821990205551,0.0381572141886516,0.0125768279450862,0.0335687382974334,0.015581551042157,0.0133052185811041,0.0194012878347488,0.0201975969210092,0.0147049815878499,0.0198622611423361,0.0124321452701744,0.0099741602674626,0.0271526793389415,0.0389926253561552,0.0208884337747385,0.0146992193847837,0.0221057603377672,0.0306285962060253,0.0102343918746615,0.011824817883157,0.0297819567493581,0.0118558520444679,0.0257446725154304,0.0173124303899651,0.0250757074934767,0.0114501960164077,0.0390637441621439,0.0142826005871808,0.0255458552301374,0.007729446985256,0.0361896641529186,0.0168349584967938,0.0172555568314725,0.0250240464489015,0.023347855728639,0.0116013560148412,0.0450265847322049,0.0152703389703421,0.018848235003846,0.0292777339560354,0.039525904516664,0.0219580552813137,0.0337852174455452,0.0092795195527645,0.0093520080878362,0.0416173297572782,0.0123388255481674,0.0201659983622825,0.0113762379206097,0.0288892421945041,0.0355072222296602
"""Rat""",0.0266084940484634,0.0534156633022622,0.09529965395963,0.0114834114790042,0.0223248368887163,0.0220637486310666,0.0244311775418037,0.0328295185457494,0.0374748904934253,0.0369380508861049,0.0292541586962947,0.0487121144412335,0.0231060472304767,0.0224799253757179,0.1165533332546874,0.011802372991916,0.0171685197904333,0.0407918723303775,0.0324061420260747,0.0244340004761633,0.0197341302868941,0.0147537408908005,0.0245148706032264,0.0136586082309321,0.0167190591889109,0.0594195735235667,0.0138976478437281,0.0420310073936397,0.0178598540337656,0.0218873364729169,0.0154108077925975,0.0332957101034951,0.0241143539034679,0.0346547423596946,0.0155226486572985,0.0466604113095692,0.015962071337546,0.0245616505610116,0.0519313365663003,0.0524538203661463,0.0137723275094516,0.0361214432475548,0.0144145824704398,0.0200428326997739,0.024247943821804,0.058370738086279,0.0334450949736589,0.04097418876975,0.0194048664499148,0.0222047480354308,0.0286894475693264,0.0141132249427025,0.0285712943606933,0.0145106600323143,0.0266822253570433,0.0366401287406225
