species,ENSG00000183283,ENSG00000141367,ENSG00000221983,ENSG00000109475,ENSG00000165119,ENSG00000170776,ENSG00000127603,ENSG00000189403,ENSG00000138668,ENSG00000152795,ENSG00000122026,ENSG00000197111,ENSG00000159140,ENSG00000131236,ENSG00000182944,ENSG00000081237,ENSG00000196531,ENSG00000087365,ENSG00000116754,ENSG00000107099,ENSG00000092010,ENSG00000265681,ENSG00000174444,ENSG00000105193,ENSG00000122406,ENSG00000215301,ENSG00000149806,ENSG00000180353,ENSG00000104894,ENSG00000197043,ENSG00000063177,ENSG00000003756,ENSG00000122566,ENSG00000069424,ENSG00000108107,ENSG00000130402,ENSG00000108654,ENSG00000147162,ENSG00000086758,ENSG00000100664,ENSG00000136942,ENSG00000100650,ENSG00000131469,ENSG00000147065,ENSG00000115524,ENSG00000197102,ENSG00000213719,ENSG00000197694,ENSG00000204628,ENSG00000145425,ENSG00000104824,ENSG00000083845,ENSG00000089280,ENSG00000188846,ENSG00000184640,ENSG00000131051
"""Frog""",0.1304376811965995,0.0514980546785033,0.1986845978756544,0.3174888612460478,-1.367909404304226,0.0144273745424263,-0.1322258407428,0.2580426097147683,-0.0177830552601909,0.3110670991374693,0.3895824915788042,0.0480841416208039,-0.449117573529901,-0.3497885189398084,0.546352278846278,-0.231795783098922,1.1980847898633562,0.1296147527008422,0.3029799429425543,-0.1926425810446186,0.2613681495779347,-0.0638979826791672,0.2333736672108393,0.1306502760073549,0.1525180187336556,0.5392626985032782,-2.1238263320742408,0.0751470976803543,0.1489870209055561,1.1689894561816292,0.4115886040650005,-0.2001134836011033,0.2567610388900847,0.7129984377961149,0.0153535632222467,0.1772361923051626,0.8214871163294766,-0.3015057380597433,0.2528587076422308,-0.2487364298362344,0.2551842775126129,0.2347905656631701,-0.4783376078801212,-0.1981420905226796,-0.681089708049353,-1.0301718343800874,-0.2737177985611212,-0.0780000244651037,0.1129282114187115,0.0163223672032146,-0.0992780269350153,0.4110372623827685,0.3810399314792121,0.025236547062543,0.1775942891788378,-1.911325617781383
"""Human""",-0.281086360293721,-0.1434636659962094,-1.103563076465988,-0.0674658286488207,-0.4169767049127326,0.4646896090546457,0.4959218942337298,0.5818241028279143,0.27054608980422,-0.6354429820830929,0.0909173830014267,-0.4472401684063738,-0.49420419794612,0.0464420914293368,-0.2117919766500815,1.323694236477743,-0.1545712466689881,-0.5443253316429699,0.0357884172934852,0.5150185706397825,-0.6659843845365394,0.796350930099686,-0.295436944173467,0.1348624812481236,0.1531321183709599,-0.454763568181213,0.2698302349698331,-0.2850381965838511,-0.3059340407643867,0.2373479758898931,0.0078579162167005,-0.4951515708030667,-1.4204529643389057,-0.2091696328499077,-0.0908820087859949,0.0126872478416379,-0.2663839204854097,-0.1810402397834902,0.1563434699081549,-0.5323095589715443,0.0224394600403987,-0.2285591117121901,-1.357373044199475,0.3885510802615339,0.0412775781687988,-0.5583207678712172,0.0616668609202086,-0.2673296176669972,-0.8192913203769548,0.2503333544889372,-0.21985996895829,-0.2731204916575769,-0.252081663614714,0.0220745718813983,0.2614605394480565,0.1352891642516418
"""Macaque""",-1.2319101740830656,-0.2764074404382886,0.0155871772109428,0.144728641540899,-0.1407089988110663,0.5294093686672676,0.5015687586492277,-0.1642454825075057,0.1177073462864943,-0.0799372045366357,0.4443453539947677,-0.4030123150604032,-0.0175140771924526,0.0044710311781837,-0.4338331272950808,0.8369870072915941,-0.0447157236621963,-0.461330626520694,0.0126807224800173,0.3608860752432705,-0.6338813909429996,-0.1614714027482168,-0.2495615813658179,-2.020487614018183,0.3022564487334731,-0.3217803377957635,-0.6390468645712561,0.1358080876917766,0.0377660511384736,0.0122864930468997,0.478462481868587,0.1483891247535338,0.5792555363582699,-0.6888965786898955,0.3601462975735308,-0.3778399127753062,0.5020281072020807,0.4665898510763711,0.28807223385485,-0.0394476862547423,-0.3441072512654726,-0.1427134694874698,0.0579379394475374,0.0333505055424885,-0.4481491491711843,-0.3582354349452736,-0.4107848475976201,-0.3733743340381503,0.2547781111638427,0.5546707917291631,-0.5924864084231132,0.584621358963948,0.1021524975823604,-0.6214266994397588,0.2001941982472288,-0.3340744935037687
"""Mouse""",-0.4841102311391763,0.0418079424170403,0.1322063480029334,2.399570610062008,-0.2987349347039163,0.5487589841197016,0.5365109217250943,0.0650468494479938,-0.0398216492187679,-0.3049282078338371,-0.0931945044128368,0.3500194753001611,-0.3809971042551856,0.0856476353130513,-0.3442715873775874,0.6531903251788642,-0.3436120268404186,-0.5791310303654962,0.0813375622378644,0.3874444818285503,-2.800428360155893,-0.0042295884779324,-0.1000034284137705,0.5160713534365877,-0.1974595406939567,-0.1610288889537399,0.0911021539951322,-0.729438608546515,0.0474820801577706,-0.0755186839640513,-0.5553024725229814,-0.2095744333347675,-0.3137653679423537,-0.2175984014223893,-0.7513567195164443,-0.1403198209934859,0.2337226368822409,-0.1375752314502869,0.0468165227468044,-0.5164611545499518,-1.3354291401179426,-0.2948519285921636,-1.0584852707574446,-0.1346104431133694,-0.0929459728463149,-0.270699028232638,-0.0823784536588221,-0.0430444574506787,0.2250029695665789,0.4277087292713939,-0.4568211718428925,-0.3401591662077261,0.0371778796585402,-2.8004293899379924,-0.0058208020531644,0.271525852896072
"""Pig""",-0.8958884524856376,0.2326648131194857,-0.3410099689323693,0.1350979323920138,-0.1707258833584304,0.1516845010833445,0.1501321310139176,0.6764068116516748,-0.1082449450542117,0.0121218874816322,0.1256429093617539,-0.0856588146412355,-0.4837388356008081,0.6852745861698946,-0.0682954482367925,0.3639549969103597,0.3182652371182985,-0.4042079742062991,-0.3164418810665721,0.380772080993113,-0.0604750617291922,-0.7159554468917828,-0.5101233616409513,0.1281619725899165,-0.0209994319042046,0.0697061074637237,-0.6375918135040941,-0.2162793063925863,-0.0052409283198517,0.064594222244712,0.0617274973948411,-0.1617029960422495,0.2917427501141549,0.2663575211066566,0.8902747321435611,-0.347214255398327,0.1392890635824328,0.4967199039715702,0.1807308633239248,-0.2724444575082378,-0.0127731506997519,0.0061634498028984,-0.2323511163617229,-0.0303054361116363,-0.358508008692918,-0.2471254592818605,-0.5914393888700502,-0.1719025429769975,-1.144873361782727,0.3014859400529115,-0.2547569911278107,-0.0427343550886454,0.1092807356386051,0.0131644650865538,-0.1073160175808549,0.0662723345752338
"""Rat""",-0.5719926498961727,-0.2495429742255632,-0.555877631345608,-0.289718975568032,-0.3535027270186617,0.5387406071093093,0.3726530383578792,0.1697364168474804,-0.1524721685815113,-0.4146044504576629,-0.547868573637686,-0.990810572647391,-0.1436796459713716,0.2053430221806311,-0.670435907933665,0.948864418563728,0.0238163009010725,-0.3733760725608883,0.2119590553520827,0.5088919847373385,-0.1612534772346041,0.2399883075978892,-0.3332964060689414,0.3905009177977101,0.070777296267579,-0.4562530774047706,0.1992052800360499,-0.5514723163795721,0.6114431932795736,0.1739024718013886,-0.6766590554728793,0.242245286906761,-0.4969745148466149,0.1864132269288032,-0.4914999602288772,-0.2847103668170418,0.5574190501447238,0.5206683828448821,0.0138617099956372,-0.6669980270510016,0.3359120882737096,-0.4655981172039978,0.3704753203836866,-0.2263984018881433,-0.0502422186064945,-0.4408596381650169,-0.3300344671052047,-0.1406192130359291,-0.1888801457240951,-0.3544139147201419,-0.4825794106384689,0.0585421995394055,0.0822884018210414,0.2366131097043808,0.4291612225698471,-0.4300690747161813
