species,ENSG00000133226,ENSG00000116489,ENSG00000005810,ENSG00000131507,ENSG00000125944,ENSG00000125304,ENSG00000054118,ENSG00000163902,ENSG00000083896,ENSG00000090863,ENSG00000123338,ENSG00000109861,ENSG00000145907,ENSG00000254999,ENSG00000132485,ENSG00000125107,ENSG00000139218,ENSG00000124486,ENSG00000160633,ENSG00000152601,ENSG00000117676,ENSG00000197157,ENSG00000138071,ENSG00000048740,ENSG00000082898,ENSG00000134516,ENSG00000104529,ENSG00000198833,ENSG00000115875,ENSG00000164548,ENSG00000080503,ENSG00000149781,ENSG00000067082,ENSG00000152818,ENSG00000170348,ENSG00000169554,ENSG00000147677,ENSG00000164754,ENSG00000135905,ENSG00000166501,ENSG00000119396,ENSG00000070831,ENSG00000078304,ENSG00000147168,ENSG00000047410,ENSG00000110367,ENSG00000187239,ENSG00000136527,ENSG00000185811,ENSG00000101294,ENSG00000090060,ENSG00000129675,ENSG00000115415,ENSG00000104408,ENSG00000124831
"""Frog""",0.0525463559926103,0.0297623712154932,0.8169390430877862,0.0725586228091042,0.0742856864176908,0.1379097939131212,0.0719644531356003,0.0977210788172883,0.043607688684569,0.105080440026836,0.0701871761716499,0.1304458930950998,0.0461617770766744,0.026327321655933,0.5247438762345711,0.0740127526011498,0.0677537680423216,0.0765640303187958,0.0800458299872541,0.0574164040205216,0.0534765253000313,0.076236187160383,0.0454740822710908,0.0501996211432193,0.1554043007511641,0.0783341172650357,0.0511431729753361,0.112213279125491,0.0484496763055886,0.4084813685158813,0.1062124067516981,0.0635908355742966,0.0504789699119026,0.107220776389678,0.0540675892799674,0.0430531613361992,0.0257256472674679,0.1030322638345572,0.0782968084413556,0.069924505804095,0.0494351248446268,0.0403095943233445,0.3526023328608678,0.1033055469180779,0.1116175215266029,0.1030155560445617,1.2653162348485318,0.0788351011668957,0.1018571304162148,0.1756863228932188,0.4708357096875735,0.1155604889633538,0.0785391906839165,0.1434344558947046,0.0817297819112584
"""Human""",0.0426891658272282,0.0337845131202049,0.0312277678945232,0.0418520135268805,0.0323457295989447,0.0392272294579022,0.0306727575605221,0.0473596620692234,0.0386402007714745,0.039663365632975,0.0451376002621087,0.02086764309252,0.0458499590884206,0.0576897809031537,0.0362824679838593,0.067542484925738,0.0394724480152806,0.0592711326935578,0.0494417406274923,0.0119234516409415,0.0463642752563113,0.0522880398428402,0.0426144979165513,0.0206764108444805,0.0486508814769754,0.044190229560944,0.0431168587600311,0.0449863918118872,0.0294841172941931,0.0577324323044071,0.041260170095158,0.0368365786908573,0.0213282736973684,0.0241387888107213,0.045073592993431,0.0184210881715013,0.0241952209178331,0.0412823577469771,0.0256792821667126,0.0247383146789256,0.0599998306753244,0.0325660141262753,0.0269699319167067,0.0431168587600311,0.0329284750831481,0.0436376505805398,0.0327042670712076,0.0661668627192615,0.0243394549475674,0.040584079617019,0.0452225161674141,0.0586167066924884,0.0263882732970105,0.0325250565541995,0.0213143052936915
"""Macaque""",0.0354802867220972,0.0492929139550118,0.0357641211580758,0.0469294342655558,0.0654807228576675,0.066973625005527,0.0393887215872341,0.054688751105278,0.0548366051143622,0.0606144738664767,0.0704397822076975,0.0609449753166138,0.0649151582991462,0.0325736520463847,0.0411119830217359,0.1015849836600699,0.0548396174557657,0.0560314953987374,0.0570202388933044,0.017027874856767,0.0727509962633923,0.0482300436387369,0.0470134246251848,0.0264005143870428,0.0741960764038269,0.0438323981895077,0.0300801463835337,0.0742504279269499,0.0377758255746825,0.0559352326513829,0.0444679059099714,0.051840334415781,0.0510303435347827,0.0288498879766813,0.0374686092443085,0.0313696385693508,0.0432063983257395,0.0367396922394845,0.0319831657309476,0.0407858613013975,0.0499361150323873,0.0220177042399569,0.0368919558944371,0.0315931868294565,0.0387948969209931,0.0637369424755237,0.0317958602918026,0.0407069586560617,0.0303086522102305,0.0529962663859012,0.0602529835068228,0.05114273623088,0.0313083668436951,0.0385455413220536,0.048514148330627
"""Mouse""",0.0447426669431636,0.0465278803737191,0.0418653038208846,0.0416864419490037,0.0826105882991147,0.0562991459842191,0.078709886045145,0.0587434062049372,0.0595195200381177,0.0563080125932702,0.0570944053494151,0.0448491911660772,0.0508445370092714,0.0497514340970092,0.0579472262259176,0.0709806355357351,0.0449777128977457,0.0532098838371586,0.0593882834089423,0.0228432317373829,0.0577787152527079,0.0515045080778165,0.0492552418899609,0.0290740680348892,0.1338839207936994,0.0152393659474588,0.0298230808943119,0.0540992257326221,0.0338412841408998,0.0644475750012135,0.0424362465978785,0.0433704814752427,0.0507085009255723,0.0297637604319777,0.0589055538986113,0.066166411237617,0.0203860895765653,0.058034576325679,0.0197828463706226,0.0276502178341859,0.0572344920952646,0.038670067490336,0.0601392516076745,0.0789947519300448,0.0376877024959215,0.0569468386263383,0.0355239664472612,0.0399256936160192,0.0203328171154424,0.0395550193605296,0.0481266443023377,0.0609205359654307,0.0693304077644743,0.0294244346828611,0.0627244247329777
"""Pig""",0.0236961562905161,0.0180210168236701,0.020941123880529,0.0241745976979848,0.0227286174068894,0.0282385767023719,0.0238537759834629,0.0351752612534257,0.0300960855905072,0.0318788028860237,0.0404337001753144,0.0150469927265028,0.0281476922722462,0.0308052603547315,0.0228280038982124,0.0428434182636496,0.0322754498753409,0.0425672551767419,0.0402323527902611,0.0136965024832405,0.0315787810203003,0.025894601088028,0.0245773092322663,0.0204428715260628,0.0405635740732024,0.0233368930678912,0.0151229750099375,0.0390256866217584,0.0182705705667269,0.039931656098116,0.0511640453059692,0.0357493114270334,0.0371521122173835,0.0238597729502884,0.0249205746307412,0.0809082558581468,0.0147912379153943,0.0244409694543796,0.0148113044063087,0.0150584916113652,0.0397300409905642,0.0178183699819682,0.0368565755930119,0.024699459652544,0.0254229024959482,0.0205519262813382,0.0250564362451884,0.0216685301471691,0.0222665866137425,0.028813011987482,0.0261903500597103,0.0390331302854525,0.0158525617535988,0.0220127247772039,0.0187907537102196
"""Rat""",0.0276666462918618,0.0259486472267782,0.0210937163542984,0.0338031357578209,0.0663305187723145,0.0500108724467553,0.038365388104568,0.0359176910654632,0.0654655925394172,0.0603193024982504,0.0568632479264004,0.0520509321415229,0.0316526232054277,0.0374231313131904,0.0336223456992071,0.0409863426761534,0.0602707013397703,0.0364778824107608,0.0553832276984156,0.0231099034253047,0.0394210323142543,0.0378943439815004,0.0231045662159671,0.0242406074260354,0.0687719079620869,0.0333110549461328,0.0204871676755264,0.0690875994314003,0.0225107198143986,0.0564629644360212,0.0411437813979461,0.0341177940887382,0.0544931359429322,0.0277327323246186,0.0409973505364976,0.0422833476452783,0.0294828627262675,0.0458868531881444,0.020558118549177,0.026496920145446,0.049498353015353,0.0160905776926548,0.0472188925877071,0.0191364931588421,0.0280832660860202,0.0360586855851912,0.0408758973753132,0.0263988560440635,0.019023063344324,0.0344695347148782,0.0324683487942932,0.0543719444610064,0.0203066789525368,0.0302127847732047,0.0414440348359562
