species,ENSG00000031823,ENSG00000119314,ENSG00000120690,ENSG00000135090,ENSG00000102760,ENSG00000064419,ENSG00000058272,ENSG00000121579,ENSG00000121774,ENSG00000114423,ENSG00000138814,ENSG00000170606,ENSG00000138758,ENSG00000080802,ENSG00000134644,ENSG00000178741,ENSG00000171497,ENSG00000177889,ENSG00000144802,ENSG00000100354,ENSG00000105968,ENSG00000081059,ENSG00000171681,ENSG00000005483,ENSG00000115464,ENSG00000055609,ENSG00000146247,ENSG00000150753,ENSG00000146285,ENSG00000120265,ENSG00000134996,ENSG00000104388,ENSG00000127922,ENSG00000198846,ENSG00000082153,ENSG00000184588,ENSG00000131196,ENSG00000247596,ENSG00000140396,ENSG00000101745,ENSG00000141027,ENSG00000069667,ENSG00000125676,ENSG00000030419,ENSG00000101972,ENSG00000065548,ENSG00000154001,ENSG00000213145,ENSG00000126561,ENSG00000114209,ENSG00000078596,ENSG00000103275,ENSG00000171700,ENSG00000125534,ENSG00000141293,ENSG00000025293
"""Frog""",0.0509501582990544,0.2369976417624076,0.0622596138388051,0.0816262747114323,0.0489666299301007,0.119417600125695,0.1636429377915278,0.0414735992198095,0.0568245119722487,0.0713398391337102,0.0766683465503407,0.7545261256567957,0.0875994892764965,0.1477597951452428,0.0526999863869421,0.0234910083488339,0.0937454167382115,0.0556675722202852,0.0686098441219432,0.0577462557597112,0.0380170064154053,0.0337922086134238,0.0640266813932893,0.061460717965715,0.127586337636461,0.0757816686263476,0.2284192537772957,0.047543789661076,0.0611451063021822,0.1275983922248579,0.0562107433093316,0.1093039068432436,0.049889390770956,0.2020590210106473,0.0927642444572061,0.0965119030196062,0.0642888396051976,0.0541054112226815,0.0836703747459355,0.0798134903037765,0.0778081893041329,0.0628295764029161,0.0795618880513244,0.1081040156140352,0.0924350910682069,0.0626620905571955,0.0953933742471326,0.0186534346335824,0.1084780838174997,0.1415456155403476,0.0394299275104271,0.036977627311704,0.2026340599255073,0.0317148783639491,0.0725848936197911,0.0735453390831576
"""Human""",0.0762869526245752,0.0427890811037852,0.0216135568053023,0.0314726723025356,0.0407214648893187,0.0698729023226861,0.035226609313933,0.0587049223379235,0.0348237554197471,0.0213188382583275,0.0344123764884954,0.1540355853616094,0.0744148207004975,0.0675737841339775,0.0580081931266468,0.0877752251508127,0.0486624213123351,0.0420148195207625,0.0570743114059967,0.0254988288258582,0.0271917306425279,0.0315305890514438,0.0255254719039425,0.0248556885920568,0.0348686969143124,0.0493885116983249,0.0447106861036902,0.0345925194362071,0.0225123840652855,0.0389825973948377,0.0329883140889321,0.0451300363273406,0.0521045958178145,0.0211384907964645,0.05115821850582,0.0689619982974549,0.0714208714751124,0.0459584476161828,0.0380909471529541,0.0289390516474852,0.0356159998387744,0.0416952219763605,0.0493499542936717,0.0246847508721882,0.0558171546989782,0.0350186072108305,0.0675077793853199,0.0462405469066048,0.0920877551891817,0.0359577598822465,0.0316006249968715,0.0592218626648357,0.0484238057029711,0.0203256674590959,0.0223958780594457,0.0507701078930305
"""Macaque""",0.0731626972444696,0.0545988677641066,0.0550353790553917,0.0424612622696894,0.0449950615003542,0.0658729066143168,0.0451055156792815,0.056139281281562,0.0650696773092757,0.0267699762304697,0.0338327683772916,0.0762877023168851,0.0610673544201775,0.0506133493936509,0.0618633060643042,0.0510334564394663,0.0777142233390164,0.0541126781520927,0.0672008270699961,0.0318647018952454,0.0395818834844517,0.0243814165561338,0.0387654912901592,0.0379466713226814,0.0430211649670958,0.0382559501825719,0.0546498317479894,0.0657329017621809,0.020586857574331,0.0571160333150113,0.0260341969626088,0.053213674732098,0.0289380121372593,0.0222201526467614,0.0348949535110265,0.0670004000379504,0.0598963130309389,0.0546031341718206,0.050187300075931,0.048464637588561,0.0680044098864457,0.0378448921565463,0.0513228458690327,0.0292751971438136,0.0430995223607554,0.050291417716849,0.0619269413677696,0.0134351894903917,0.0627646734235059,0.0502946679366259,0.021870679594744,0.0405368184653933,0.0364314044554252,0.0308559654451755,0.0283932782088135,0.0835403594983232
"""Mouse""",0.073131452234959,0.0375599615451202,0.0441795605508294,0.0595562670295404,0.0505576251376916,0.0535485260057665,0.0428718139227156,0.035476887186547,0.0339559660076621,0.031038391767093,0.0317412529052702,0.0621878553753933,0.0984017074997085,0.0532677428669959,0.0532308254639459,0.0257891380585781,0.062030123220116,0.0647092447613854,0.0546396819851361,0.0436455300593261,0.0310221420038092,0.037101625767758,0.0361082295143752,0.0420406532715923,0.0528460673963123,0.0479625160586366,0.0504110724800958,0.0573238763035523,0.0409221809303806,0.0411169112150745,0.0314526166068043,0.0582681466218688,0.0312718213697275,0.0860211690760235,0.0326976417156504,0.0441702350205364,0.0595205625401515,0.0540074249206347,0.0456339227736194,0.0357899431449811,0.0453884632462716,0.0730731633760225,0.055239207904804,0.0492476321159013,0.0422633967581121,0.0520500754418602,0.0696712076601073,0.0237776853536127,0.0437158740448596,0.0339514621864363,0.0648503964846974,0.0446420346883313,0.0568757525774529,0.051273691143999,0.0192454673434988,0.0598808429901584
"""Pig""",0.0574232674798831,0.0212501616319938,0.0227225777979107,0.0370262503582061,0.0303818224841518,0.0443396366133859,0.0232185356739303,0.0420265011648171,0.0300181999992046,0.0134964375828355,0.0212042279860236,0.0272981187622397,0.0291903501964907,0.0414074855431586,0.0427089573131142,0.0217846076890517,0.0486022363922544,0.0422324079239419,0.0489844069294172,0.0248583776051031,0.0175533523886069,0.0167138415324052,0.0385202453067471,0.0212377172627601,0.0265132471785128,0.0239348581756443,0.0252495262958067,0.0267900466066695,0.0184256869943678,0.035804700111656,0.0171691484850011,0.0298964512251032,0.0185483235931314,0.0148035818914815,0.0221925592764024,0.0338533235976938,0.0450118362146062,0.0333488524261217,0.0227366330962303,0.0201595418394106,0.0341791840837498,0.0203450686384144,0.0369077193243305,0.0167797561848517,0.0312726703004886,0.0340612434707536,0.0362111165380079,0.0122992381963366,0.0816733247155438,0.0311337894662534,0.0657418584624376,0.0263934694730502,0.0199556252577959,0.0288262733133701,0.013505058303905,0.0446710149855588
"""Rat""",0.0967564405703265,0.0304267277522731,0.0463691267092027,0.0370412671123283,0.0380367744317751,0.0791793540019508,0.0280724225322297,0.0683767506147808,0.0358926084145315,0.0253886081884531,0.0308301955034402,0.0414497898385669,0.0328479929548589,0.0376379995107455,0.0452408466230166,0.0331452575374678,0.0796679796068908,0.0382490571530489,0.0559389929354545,0.0268899482198832,0.017783360402154,0.0135876528801169,0.0393983986797754,0.0267934538655465,0.0490052833604459,0.0343901292396991,0.0497612050695378,0.0266976627948465,0.0205086354284945,0.0728148492282889,0.0343286368615681,0.0611503916881481,0.0338337427961177,0.022063793656722,0.0508097294234232,0.0327594849257054,0.0438122455475251,0.0375420044216328,0.0838055366820726,0.0435884140065325,0.0275288719663919,0.0539092774927228,0.0461324384199401,0.0190838608158782,0.0369772083744165,0.0388966528295141,0.0930519799390144,0.0119537246359987,0.0319432003433704,0.0326272343118269,0.042881240523675,0.0693437840813805,0.0437378625676579,0.0255187509003951,0.0149262698717205,0.060595195068113
