species,ENSG00000133226,ENSG00000116489,ENSG00000005810,ENSG00000131507,ENSG00000125944,ENSG00000125304,ENSG00000054118,ENSG00000163902,ENSG00000083896,ENSG00000090863,ENSG00000123338,ENSG00000109861,ENSG00000145907,ENSG00000254999,ENSG00000132485,ENSG00000125107,ENSG00000139218,ENSG00000124486,ENSG00000160633,ENSG00000152601,ENSG00000117676,ENSG00000197157,ENSG00000138071,ENSG00000048740,ENSG00000082898,ENSG00000134516,ENSG00000104529,ENSG00000198833,ENSG00000115875,ENSG00000164548,ENSG00000080503,ENSG00000149781,ENSG00000067082,ENSG00000152818,ENSG00000170348,ENSG00000169554,ENSG00000147677,ENSG00000164754,ENSG00000135905,ENSG00000166501,ENSG00000119396,ENSG00000070831,ENSG00000078304,ENSG00000147168,ENSG00000047410,ENSG00000110367,ENSG00000187239,ENSG00000136527,ENSG00000185811,ENSG00000101294,ENSG00000090060,ENSG00000129675,ENSG00000115415,ENSG00000104408,ENSG00000124831
"""Frog""",-0.3909828793795582,1.3669485277335345,-1.147501840465352,-0.0923876311185183,1.1925923572102428,0.2094390449707843,0.6765746132493617,0.7406528626363629,0.5032093566657443,0.7088749876290181,0.6403321426961097,0.659332462200634,1.5305533846631747,0.941138960824312,-0.8043032767280462,0.8823987957559953,0.7017487809359568,0.3250826094303976,0.70399933187105,0.6330069466714241,0.3760825867012511,0.6747571627216049,-0.4159976902978313,0.8706351478600822,0.3077241145596812,0.3216906286612164,-1.656460197783214,0.1206764084810707,-0.5452233275973775,-1.504496105617684,-0.4304698918811048,0.3436145748840078,0.3713815887990785,0.537371854352493,0.1378004257304388,1.930045249862199,-0.063642960132475,0.4937471474672021,-0.2124862096202207,0.4686501396460649,0.8447892275847375,-0.1196060675763368,-1.4096878878719203,1.7104487450958656,1.299350180891604,0.7344460652157176,-1.046800507631499,0.7104459683291864,-0.3370594550285295,1.0181731819887847,-1.3550181495710298,0.3600415286817298,-0.5009219300804469,-2.603307700421243,1.2105430309139444
"""Human""",-0.1939145411450855,0.2286108661893342,0.6417265822561284,0.2242740468726325,-0.4198189169422208,0.2113838381976522,0.2634677162066257,-0.0248736598571219,0.091249184048552,0.4384235291743981,-0.122804520599548,-0.0609455457904051,0.2585322250167872,-1.170260814666904,0.2583879453619957,0.6028659907544636,0.3005365008232343,0.5639584800632127,0.0807495672862517,1.4762376112548237,0.1030678986350781,0.7459810448723714,0.1806168239510881,0.5688053680751737,0.2842361758905032,0.7930222547960717,-3.111997586310713,0.066926703464532,0.0448167631259119,1.2003517227471978,0.8884094874112451,0.0837652279958962,0.026099860051153,0.8920667705525569,0.3142365947714176,1.2593341402684082,-0.4796906811382485,-0.0925975619368042,1.2412671095825114,1.2614024745520485,0.4342856724713706,-0.3617925924933247,0.6617128288659464,-2.0268040648949537,0.1786515842956126,-0.1006016250312753,0.6450843247045339,0.3562958986016951,0.6549188509281039,0.1603255179596547,-0.1517718617294148,0.5956543370281164,0.4341719494283695,-0.3988622653662027,0.5761322197466567
"""Macaque""",-0.4210006928686724,-0.0909086644355872,0.561807537644605,-0.1729836353047085,0.1358585806220007,0.1631663361902784,-0.1590880280961439,-0.4312876980475337,0.3134756753677763,0.0895483125228362,-0.6842529035104692,0.1081322812495351,0.069977636720159,-0.7546770300712922,-0.1211623618410434,0.4765288131837275,0.2780305436635588,0.59751614111614,0.1983669650361178,0.8348113077690675,-0.880451645161109,0.3920315255315065,0.0570862678239304,0.2949751938867759,0.5273349935242015,0.6929831416679224,-1.2855920005801116,0.6017283158770577,-0.4317279841041957,0.902618120267471,0.5680316516338351,-0.0984414334682719,-0.0261314990508998,0.925349925312216,-0.841387347724943,1.5698296221828991,-0.8204622854534311,-0.1091257695000507,1.1156919080380243,1.0936000361999163,-0.080177030672079,-0.9653718754042206,0.4067864279191551,-0.0264899561629377,0.4500015812896722,0.2434630605533316,0.1960703481133323,-0.0420432863152421,0.5673048591963692,-0.0205492757359357,0.3001064811113003,0.3979183492991223,0.2726713163695367,-0.3732073492489438,0.3102342126665469
"""Mouse""",-0.1890482069617979,0.4647619998534388,0.2769171845804364,0.0309534108513599,0.1832283365017598,0.1906392294028257,0.0762741110447523,0.198318711481315,-0.23118152015797,0.2689022783477338,0.3205598881927446,0.2064542448449243,-0.0428980995705212,-0.2723393977665226,-0.0575430203360097,0.5220761258961554,0.0172227047553618,0.6698504049022233,0.1357469676960648,0.2655323315131545,0.3348081266259562,0.8989549903659703,0.0816652361655335,0.5694988875486918,0.7042221030557204,1.3358508665659214,-1.1517271116392958,-0.2008934467622394,-0.3209668012114814,-0.4162323664824384,0.6905055430164576,0.1336791373492237,0.1938379426731634,0.7821070191330922,-0.2595832860458024,2.221644399168852,-0.91485519673978,0.249295509181275,0.9829241462276672,1.081480558112919,0.0225775953655441,-0.5445096316585243,0.6742222256154152,0.0262364031565321,-0.2416338227937576,0.4086555777475268,0.8080940327921059,-0.1451474205797306,0.970485713587894,-0.2458666814320588,0.2003866406937399,0.5559257496606126,-0.2578618907670665,-0.866560460827323,0.244343011906534
"""Pig""",-0.4069053484786512,-0.2332044982109149,0.68631338909361,-0.41878521337079,0.2982160669363656,0.2624379191707628,0.1386342342291118,-0.11319237310792,-0.4205927616506634,0.8042364043937016,0.1394634191503354,-0.3472231594417948,-0.2666829143869627,-0.919939411927487,-0.0262371970280106,0.2479831138957218,0.4602573098606162,0.5349647657736336,-0.2794511334734635,0.6889568552342391,-0.6775677424578889,0.522965500832131,0.0272030164587295,0.6364199078836923,0.988910528484078,0.483651455925107,-0.6630266336958456,0.1012126091140881,-0.4959450259879944,0.9241594041672828,0.4557654662580952,-0.4007214134086365,0.0678014029893336,0.96640702235493,-0.139408070152109,0.8515367567970835,-0.260314415349677,0.195506757459116,0.7947802582127448,0.7402702334704832,0.1490481647622719,-0.2519342791315433,0.113066841087674,-0.6877955891718329,-0.239413279090523,0.5299729031262346,0.2491738122297075,-0.0531090606559212,0.5716333687217416,-0.0511581041491073,0.0576257138215037,0.6218825781537964,0.270104549350141,-0.5355526279073024,0.2022895872518739
"""Rat""",-0.1875642146187628,-0.3957575324420348,0.9132433558575516,-0.364633341365292,0.5613705356567462,0.2544569596717947,0.0575346680634774,-0.2398772807564106,0.1498110211940337,-0.1231096198292729,0.0393295843128209,-0.0433616474537403,-0.3430152529272574,-0.4023219377529554,-0.2801469557838549,0.4521498964970243,0.2839832028944862,0.6382227739601534,-0.0897374172983058,1.145885725198524,0.620834898965323,0.5039704998026773,-0.4989442163928259,1.1182276520477257,0.5032327604003759,0.4189744813757849,0.641079034026794,0.3953303081213888,-0.4386994697327049,0.8907056347136189,0.9164054742117986,-0.2521260981069835,2.011821540201887,0.4881774782035952,-0.404355246879446,2.21234160430045,-1.241923599851651,-0.2073629598531126,0.7355831560980184,1.7751166724617773,-0.2614520172668386,-0.8542743777873936,0.8738041573049926,-0.5763734292632418,-0.0851852856310431,0.1761241019798942,0.7569918200688888,0.1925261987088673,0.992279279441778,-0.0564425679468256,-0.0122793249447266,0.0700912309411461,0.3027692539404509,-0.5661101832881826,-0.2022440566667784
