species,ENSG00000183283,ENSG00000141367,ENSG00000221983,ENSG00000109475,ENSG00000165119,ENSG00000170776,ENSG00000127603,ENSG00000189403,ENSG00000138668,ENSG00000152795,ENSG00000122026,ENSG00000197111,ENSG00000159140,ENSG00000131236,ENSG00000182944,ENSG00000081237,ENSG00000196531,ENSG00000087365,ENSG00000116754,ENSG00000107099,ENSG00000092010,ENSG00000265681,ENSG00000174444,ENSG00000105193,ENSG00000122406,ENSG00000215301,ENSG00000149806,ENSG00000180353,ENSG00000104894,ENSG00000197043,ENSG00000063177,ENSG00000003756,ENSG00000122566,ENSG00000069424,ENSG00000108107,ENSG00000130402,ENSG00000108654,ENSG00000147162,ENSG00000086758,ENSG00000100664,ENSG00000136942,ENSG00000100650,ENSG00000131469,ENSG00000147065,ENSG00000115524,ENSG00000197102,ENSG00000213719,ENSG00000197694,ENSG00000204628,ENSG00000145425,ENSG00000104824,ENSG00000083845,ENSG00000089280,ENSG00000188846,ENSG00000184640,ENSG00000131051
"""Frog""",-0.0839015601598611,0.2453478329422813,-1.777370491518354,-1.8041830539892576,-1.5594275213876458,0.4129509159624784,0.4461558734147335,-0.0077537247335184,0.2379846409571644,-0.0245516910668319,-1.4186970562254682,-0.7287555947146808,-0.5430693214961778,-0.5363501582267132,0.7646590252155299,-0.4894351410867399,-0.5531649924719,0.3187114700720088,0.2804026820194238,-0.0301350434677869,-0.0388636230145882,-2.110983378307988,-1.376488682545479,-1.854376843724698,-1.686369012154443,0.6908516790097587,-3.198921868921654,0.0194428290764194,0.4257021707944854,1.428259517505402,-1.6453330372411374,-0.1061180930831298,0.6746971248918843,1.1843789025528837,-1.856752572901476,0.2287537363577929,0.1343561576917278,0.1473120005447341,0.6129200634907896,-0.3145533233358477,-1.7468687092767912,-0.3420522165697732,-2.212954314431564,-0.4917685853419347,-0.6511225853965625,-0.6200990477749626,-0.7328442399069979,0.6495552447485717,-1.7537948646735988,-1.915414717843005,-0.2416959328421903,-1.6609129899680424,0.302705489547683,-1.7435097571567602,-0.1205274910614215,-2.0966646656105405
"""Human""",-0.611439930550734,0.3627273003858022,-2.1165693604364697,-1.5070998194079983,-0.7733289620564011,0.4530377433020807,0.5777751418618218,0.0501753710169714,0.6160034448730027,-1.0482637923397702,-0.5733906459581967,-1.1483318183420317,-0.8230570846033747,-0.234710342141327,-0.2274658511936029,0.5340157373588701,-1.1433274657920771,-0.6165246283066959,0.0254062885269941,0.5889263999498187,-1.2399861973166584,0.4966364229337905,-1.1819652251016834,-1.0198626815583056,-1.0402069781162055,-0.2062572937441504,-1.0167760607612213,-0.6201934645153198,-0.8996607491857881,0.0654528784093799,-1.29774931286051,-0.0011379522071877,-2.0802995192784293,0.0180201387495049,-1.7032577473142103,0.1333578073624526,-0.923192182154642,0.0006562236246208,0.6658750365886374,-0.5992144034833715,-0.974939057299556,-0.3524919716322274,-2.227308592893832,0.1512388235527237,-0.042556086604915,-0.2636536111347756,-0.5666187477354331,-0.078616495014709,-3.112029434638325,-1.20778478985905,0.3453150292475477,-1.4184222616967364,-0.5413706893002781,-1.172260291431788,0.0699515630424234,-0.0772834987599961
"""Macaque""",-1.6227433637960935,0.0391177735302215,-1.5107005739438062,-1.2896512528068222,-0.570906258846114,0.7221867798354447,0.911433139360244,-0.6721891325030991,0.5016142507291361,-0.4583880161280851,0.5985870785140992,-0.7859862371930525,-0.3160042468890927,-0.298866755553784,-0.4917529668930943,0.0456670264938986,-1.2015850701942223,-0.4734350098939228,-0.2221620892688111,0.5839076440063189,-1.4189468582775433,-1.1611439437679718,-1.1643544178762406,-2.5980301255670666,-1.1227375971586562,0.1197460741374826,-2.135378462813588,-0.1565237365133387,-0.4386044705525029,-0.2441336081742979,-1.1494108180675993,0.4867833879534387,-0.0765241887853809,-0.4468397548885837,-0.9312763758289896,0.0179122362841608,0.0837172747756692,0.6111691986101484,0.6863382208911162,-0.0753570328119589,-1.0875633772754831,0.0020511345330083,-1.0718479456102723,-0.2951540316833497,-0.5076376496824447,-0.0383553991228786,-0.9556513347367456,-0.114118567444875,-0.9132895908834796,-1.0620195780005015,-0.601114700656836,-0.8506601790120852,0.0720506927539407,-0.4351885698839377,0.0321409283600293,-0.400934837430895
"""Mouse""",-0.6319087278721627,0.4825396126668907,-0.8401820211285441,-2.7934480680439835,-0.6521351944629444,0.3279811897796513,0.3972376991919598,-0.379531454505187,0.5983501791406075,-0.3261910181480385,-1.1802113391448046,-0.2908477670746797,-0.6316630714860023,0.0628980696852251,-0.3572089894032578,0.1187954495710289,-1.136403629311876,-0.6437394212636607,-0.0094611879106922,0.634236173830309,-2.7934456534409824,-0.8021501601923096,-1.100450037765948,-0.928108815267454,-0.2681379330476215,0.2567238036588394,-1.2295341908424182,-0.6132876775227559,-0.3317711545850497,-0.184987180179537,-2.049977886569755,-0.0006006958826839,-0.9831047577175472,0.0550882355527039,-1.6267986407013817,0.2132164759026918,-0.5142297297379207,-0.0061478331595248,0.4131182561760572,-0.7540609509748538,-2.7698122285436315,-0.4362010957561325,-1.018004983971417,-0.6090168725718992,-0.3873414483894195,0.2451434922226701,-0.6214004835483677,0.2719611099153828,-0.8754008426329649,-1.1945350811030773,-0.6148577560050564,-1.9475004145045016,0.0964884417346682,-2.7934480462780336,0.0044261058249731,-0.372604135510275
"""Pig""",-1.1679376827800343,0.5390936409699445,-1.774773913803624,-1.4533981514924088,-0.6431422213953317,0.467709225543252,0.8645797169077425,-0.0428876941864615,0.3043776346506539,-0.5035492450600699,-0.8166242179113492,-0.5606529448045648,-0.860520881661843,0.6327394036274783,-0.292200745116994,-0.2649533154020524,-0.8638404213161222,-0.4996636184141854,-0.0164089695686515,0.5116716301614803,-0.7165494928064715,-1.317285378005828,-0.9290576887476212,-1.2184243355781303,-1.435039432292406,0.3932436931054317,-2.1414994298146586,-0.2599417975309812,-0.4759387325726005,0.2867774586732707,-1.3378016186528685,0.1781238878757154,-0.4690656932162662,0.6212846556473814,-0.701069448678865,0.0349783904390941,-0.1703496536051636,0.4104646210837954,0.4823323008813664,-0.3937031744170797,-1.5184362490783745,0.4392988313168746,-1.39979076846903,-0.2473883774365621,-0.273407654882156,0.2725150286602507,-1.2029823267956066,0.1990671997155917,-2.42722576293869,-1.2769056710541993,0.2223039954728998,-1.4512542331170568,0.057105245500441,-1.5167711057662847,0.0395958907811766,0.600026897381452
"""Rat""",-0.9068199806732612,0.0853893928005298,0.028749826747642,-1.8211509698753543,-0.8171957442414634,0.4940186647294367,0.3371391931906318,0.4294227500178804,-0.0285929940665601,-0.585644764157142,-1.3081448849222437,-0.9796763657986056,-0.6836843814755225,-0.1239473379175752,0.1849947897663364,0.0508562503397045,-1.1409443382627802,-0.5380216854197155,0.2990812312626307,0.5929655629983086,-0.8994022623120377,-1.2577237087993782,-1.1161434138328334,-1.1926786824569495,-1.201897284443485,0.0399502023660918,-1.3109417403037398,-0.5800303394182745,0.3153004288038257,-0.1347038659882822,-2.0022086373408743,0.3890693515341805,-1.3278022630985626,0.3436890884447134,-1.8363507486208877,-0.0668037502100027,0.0156884228943678,0.6506667335657417,0.6040764725350516,-0.3620232153984657,-1.2248288099775726,-0.71200195068789,-0.6682086820672972,-0.7676942900230883,-0.3988274280740137,-0.0264590782370797,-0.5483827776036122,0.010448745203379,-1.28519731427421,-0.9542227244862528,-0.8519343612056766,-1.376646653882765,-0.0658835489680347,-1.278104523259687,0.499703067612542,-0.4324788424131083
