species,ENSG00000133226,ENSG00000116489,ENSG00000005810,ENSG00000131507,ENSG00000125944,ENSG00000125304,ENSG00000054118,ENSG00000163902,ENSG00000083896,ENSG00000090863,ENSG00000123338,ENSG00000109861,ENSG00000145907,ENSG00000254999,ENSG00000132485,ENSG00000125107,ENSG00000139218,ENSG00000124486,ENSG00000160633,ENSG00000152601,ENSG00000117676,ENSG00000197157,ENSG00000138071,ENSG00000048740,ENSG00000082898,ENSG00000134516,ENSG00000104529,ENSG00000198833,ENSG00000115875,ENSG00000164548,ENSG00000080503,ENSG00000149781,ENSG00000067082,ENSG00000152818,ENSG00000170348,ENSG00000169554,ENSG00000147677,ENSG00000164754,ENSG00000135905,ENSG00000166501,ENSG00000119396,ENSG00000070831,ENSG00000078304,ENSG00000147168,ENSG00000047410,ENSG00000110367,ENSG00000187239,ENSG00000136527,ENSG00000185811,ENSG00000101294,ENSG00000090060,ENSG00000129675,ENSG00000115415,ENSG00000104408,ENSG00000124831
"""Frog""",-0.3021679550998274,1.2334273813005256,-1.7588074470141242,-0.1187871644343285,0.5001920387746055,-0.307382155486525,0.219592270860224,0.2737041067268471,0.3447748422600376,0.1471097714045712,0.2331638976252643,0.2362151183049319,1.1136174783822042,0.962025731129831,-1.3032192087884673,0.4575814888895952,0.2602830914685645,0.0281568801420106,0.1841172092216121,0.2695279775011467,0.1940614930563515,0.207314901937563,-0.2270948751795921,0.5859279636663532,-0.1010893990576931,-0.0269676819261293,-0.452389185170628,-0.3717439331165421,-0.2279546155562479,-1.8191464948144684,-0.6646343205315299,0.2899031105094141,0.2989049753111334,-0.0971317992367104,0.1823546346874596,1.4670508355651508,0.4621445502897245,-0.1395646656198371,-0.3490178603910523,0.2856540475948548,0.5611969025224572,0.3106841334736112,-1.6108560951975095,0.7938395565004865,0.4768749653075494,0.0699548532900742,-1.817857763133348,0.226108836189844,-0.4651075648288005,0.2372838176319793,-1.7591578968115051,-0.2643877574094726,-0.4201820317193605,-2.00419201706499,0.5580502032929953
"""Human""",-0.2073860307099286,0.0663906067323909,0.4649388527651852,0.0592307650435457,-0.4822200199843487,-0.097621755157276,0.169598751840835,-0.1334776990305815,-0.1855738195647398,0.2329142936035426,-0.5436840768185145,0.2402169198929178,0.1228992469103595,-0.9208851779939686,0.1499348883448623,0.0310592063671706,0.1579928732413213,0.0318726158039419,-0.3259364776268705,1.640933159399741,-0.2182331945412687,0.2500175417049546,0.0995978043883611,0.6986040350182523,-0.1351064675125666,0.2648410352644232,-2.1323007710859527,-0.3621276787042249,0.2739033885713442,0.5338440037049956,0.4773936814084463,-0.0814188264289133,0.3295015936034848,0.7517417913684032,0.2132834801427747,1.1604764650606558,-0.2589505030926893,-0.2069057606430082,0.9308507541679152,0.8665958776487508,0.1195147224661785,-0.2059251786164542,0.5879300761848545,-2.1587044165508926,0.1035432644637912,-0.1673125331208032,0.4355871495518986,0.106291676667984,0.6395901758716587,-0.0912080372336663,-0.2918041970758074,-0.0356996914706002,0.3460473452734423,-0.0756614939820679,0.5942655432770878
"""Macaque""",-0.4832854464316832,-0.2968234395886603,0.3584514599256578,-0.0449967889307341,-0.1257639120056705,-0.2299911696350002,-0.2618885849669481,-0.4896641581453376,0.019992992944896,-0.1109467820947841,-0.9791981570568492,-0.1599390915595525,0.0410357856028125,-0.4995317591248139,-0.3733572505179031,0.0019299018346077,0.1619722208952771,0.0484129113817848,-0.0930642407422669,1.0707966805574622,-1.0130859118456876,-0.0747939717149491,0.1204277682692018,0.4265319052189793,-0.1109211221217624,0.3791536609941472,-0.3810342231898439,-0.175946360437799,-0.0528632876765793,0.3111520716453662,0.1638752869551258,-0.1919314951649349,-0.2327896230492356,0.6344828982725166,-0.897880040204195,1.047350291978047,-0.4200639443800174,-0.2045883695515995,0.6411848443920949,0.5466691501248064,-0.2048330277634112,-0.4021309371285917,0.2297592074799499,0.4417660017627813,0.2746370407254719,0.1140005420701648,0.2859302086635198,-0.208727603269294,0.6115974442026619,-0.3654254936060889,0.1526954008732943,-0.1169550260950482,0.2831638303844472,-0.0411932637020853,0.23718780221143
"""Mouse""",-0.1388524966103026,-0.0984827532854009,0.2911551096508855,0.2442930110236161,-0.2055127842291915,-0.196154542953274,-0.1385877897780869,-0.1451451919628223,-0.4465069838280315,-0.1079149673154524,-0.2237514732364434,-0.1176174245522132,-0.1031160294196773,-0.3330575868853385,-0.4654344880833017,0.0472233110447746,-0.1995908828174164,0.0561088417473325,-0.1983731133115023,0.6654069167652765,-0.0122294526717463,0.2324577397132845,0.053195513062864,0.593756980821329,0.0318010389924108,1.3330122571631713,-0.6409153105105108,-0.6744910744150847,-0.0592187470321012,-0.6170030612915904,0.2329007535181992,0.0115776730961707,-0.0439210467076001,0.6461099885780608,-0.4667036085387153,1.1976262019263997,-0.3156568044739303,-0.0730845183729445,0.9303744028635546,0.7710388057581326,-0.0844051367630447,-0.0167354168003017,0.1918552550355508,-0.1457762632908787,-0.0356383368428741,0.1002582333900417,0.4162691421468434,-0.0047378956678965,0.8962770775228561,-0.342016889109576,0.0380887814400916,-0.0489151309845756,-0.3546484497578328,-0.4746732030544205,0.0643146639032825
"""Pig""",-0.2612112712892123,0.0374515556168977,0.4690464282860027,-0.2712862861375364,0.1854725498692797,-0.0144496458294267,0.0529150998615324,-0.2568721631586781,-0.4591958663216193,0.2258971126684672,-0.2703639878597399,0.1098040607043286,-0.273645137755157,-0.6683280928844164,0.0316735014870892,-0.1696831500503339,0.0827377152501722,-0.065074858595632,-0.456465589884488,0.7767725249566744,-0.7657465175186857,0.1890346275153924,-0.0191662074368652,0.4573122874207285,0.1717822519575671,0.2535209379379348,-0.062242769080226,-0.3175261884941625,-0.1177764059039037,0.1482870554547153,-0.166231891265731,-0.4574379553894374,-0.3438889818441428,0.4911263770637539,-0.1685902599570083,-0.3071505623249089,0.2157867092223506,0.1108578123941694,0.7641852131705629,0.7277502290631621,-0.2296007046234807,0.0672799387949187,-0.2106214378341175,-0.4567068759855437,-0.1604971249870721,0.4115490748811323,0.146772352114076,-0.0169143430241027,0.3643466620258526,-0.1184721322090716,-0.0295983086505815,0.0508905894032412,0.3867305360795097,-0.2999232562024259,0.3131376737666556
"""Rat""",0.0105898429690469,-0.1642482276857715,0.7405603489547965,-0.1992101929115608,-0.0811295198687469,-0.1654655980329646,-0.0923754641235679,-0.3075011620532264,-0.300348015923183,-0.4688122077065826,-0.2926214158165567,-0.4290823955412668,-0.2999382154752286,-0.291082768781822,-0.2518641701039965,0.0863654686055173,-0.1905789089981175,0.2656330644146178,-0.4317660896102122,0.7589016278501193,0.2100187970274643,0.1338970843542077,-0.1026450361677961,0.7143675737448261,-0.1888676467984207,0.1714115679163694,0.6916568567633967,-0.3994606249934489,-0.0137687188858603,0.099059968563508,0.3064622771693952,-0.2307438576513798,0.6262765817215796,0.3976095247734754,-0.4177091451201222,1.1349058086063444,-0.6099290467786669,-0.356862440801124,0.7003481542504209,0.9498257369307166,-0.3794970145916485,0.0506217104570461,0.222131412546465,0.0436975356977087,0.0925909726430189,0.0986436983693153,0.2246158296719365,0.2946787758610765,0.8508753769888857,-0.1572763084288766,-0.0228580391169859,-0.220817724695187,0.5019117936014452,-0.4003236512199035,-0.2987473545320951
