species,ENSG00000183283,ENSG00000141367,ENSG00000221983,ENSG00000109475,ENSG00000165119,ENSG00000170776,ENSG00000127603,ENSG00000189403,ENSG00000138668,ENSG00000152795,ENSG00000122026,ENSG00000197111,ENSG00000159140,ENSG00000131236,ENSG00000182944,ENSG00000081237,ENSG00000196531,ENSG00000087365,ENSG00000116754,ENSG00000107099,ENSG00000092010,ENSG00000265681,ENSG00000174444,ENSG00000105193,ENSG00000122406,ENSG00000215301,ENSG00000149806,ENSG00000180353,ENSG00000104894,ENSG00000197043,ENSG00000063177,ENSG00000003756,ENSG00000122566,ENSG00000069424,ENSG00000108107,ENSG00000130402,ENSG00000108654,ENSG00000147162,ENSG00000086758,ENSG00000100664,ENSG00000136942,ENSG00000100650,ENSG00000131469,ENSG00000147065,ENSG00000115524,ENSG00000197102,ENSG00000213719,ENSG00000197694,ENSG00000204628,ENSG00000145425,ENSG00000104824,ENSG00000083845,ENSG00000089280,ENSG00000188846,ENSG00000184640,ENSG00000131051
"""Frog""",0.04748145532849,0.0563130933893727,0.020442899512004,0.017500353094385,0.0405080262303348,0.066895783254162,0.1284434550999272,0.0358663724510557,0.0880578797504394,0.0389449773944561,0.0174887649196753,0.0310583703014024,0.0618312396115391,0.0577312635378997,0.0484901402543121,0.0353650136244696,0.0099183556905505,0.0601378219302214,0.0385564798938955,0.0926992384433299,0.0330048682308006,0.0161264798574147,0.0195544371660651,0.0191553127079765,0.0212873544418515,0.0395632922788517,0.1008181922649169,0.0589108112491488,0.0555303829854285,0.0476185770753429,0.0170602420658564,0.0786636814414405,0.069327277698183,0.058664683831729,0.019481569535343,0.0603763620772039,0.0189953624051633,0.118824046836215,0.0592123582079009,0.0579681936350366,0.0190974133831253,0.0272723505630487,0.0191583022141605,0.0416403342011443,0.0769436565214659,0.1616215556567125,0.0317189190312035,0.1109730384827064,0.0227868629861444,0.0213439924194505,0.0485535456429028,0.017537693329465,0.0333130894231829,0.0238391417657102,0.0434037293483388,0.1735639935830937
"""Human""",0.0258040704664952,0.0539498203580593,0.0172923026950944,0.012077047960737,0.0250895067701966,0.0236734082531424,0.0264050473965014,0.0170216994624873,0.0405268137086199,0.0286608400057094,0.0176748780122504,0.0302412076776113,0.0319802637461763,0.0263427891847736,0.0423333934989025,0.010150381783755,0.0185731396352606,0.0395629218588889,0.0325676061066183,0.0236606433026845,0.0239118680189712,0.0167520483513775,0.0320684847598713,0.0168287770580912,0.0138760289482462,0.0362875704567472,0.0118939678587072,0.0249778100665281,0.0259311153112315,0.0253719419579803,0.0144958104912488,0.0858998764210793,0.043711203909681,0.0397653432841328,0.008696670398353,0.0349963591623801,0.0240033767746645,0.0341869298401782,0.0512774893930341,0.0284643921526244,0.0156367685334969,0.0423420230988693,0.022883388640128,0.0209814297607859,0.0359460324755288,0.0531915815543209,0.0186226017520839,0.0348640821702619,0.0431168587600311,0.0119751107319397,0.0596813385120865,0.015034376589497,0.0324127955496055,0.0151969438681579,0.0263811289526585,0.022042463588314
"""Macaque""",0.1038273904570728,0.0493264590464608,0.0157203637922112,0.0147593977471641,0.0214785744954324,0.0334690631927602,0.0356966007995846,0.0201995530702529,0.0431773744316851,0.0331331793777891,0.0336175176965036,0.0345728570057854,0.0418138402613458,0.0433315379293989,0.0507749243363052,0.0196649393563041,0.021798497843688,0.0317548298987623,0.0314752379126664,0.0310597712041134,0.0259015479345326,0.0234972679539476,0.0279418175413677,0.0137792004291392,0.0135167773247114,0.0636366995142996,0.0172339900168023,0.0401574250809503,0.0319257183722877,0.0390483291865274,0.0114801068343707,0.0489436209184565,0.0178311806675333,0.0616579052265742,0.0149079955279694,0.0514488855176238,0.0356138434520256,0.0784880307122947,0.0437604952535678,0.0441760632299012,0.0344321024574341,0.0542313851024837,0.0173697909610288,0.0430475098923716,0.055542786085661,0.0471246888181856,0.0373160930549446,0.054712387463416,0.0171931806850217,0.0111318801897288,0.0461198409596722,0.0120891749164076,0.0487245489096811,0.0607226904553757,0.0554122301358238,0.0447987516425113
"""Mouse""",0.0474973870450862,0.0473184329550081,0.0213898208678154,0.0159334243511285,0.0446300648415402,0.0316805470896558,0.0337481076265772,0.0371459711350141,0.0753619568127392,0.0467703881959535,0.025201343294599,0.0251137331448876,0.0466221759636737,0.0614813143056883,0.0373147444122922,0.0214506855392554,0.0296937981973034,0.0440889057002954,0.0367887817701395,0.0298099590559164,0.195160607676343,0.0227294761421624,0.0190672822259381,0.0131291224282892,0.0431836589860826,0.0535626253758696,0.0192249424795426,0.0488979854685022,0.0304675815667577,0.0385353102353687,0.0204056413043164,0.037887684592525,0.0263914244231723,0.0460322451617681,0.0289706264966283,0.0580940387186651,0.0236363478322648,0.0357931151953446,0.0480928983229568,0.0269930022122838,0.0244274414928554,0.0480208698446479,0.049465488852001,0.0376606505733131,0.0419445100790678,0.0536844789692291,0.0206593435908374,0.0427903696489179,0.0173064645760538,0.0165578428959917,0.0327615062724702,0.0175372017623574,0.0502364514426195,0.049465488852001,0.0346816296868265,0.0283271850539933
"""Pig""",0.0311504616968257,0.0253263299787325,0.012833046285887,0.0098038389226436,0.0163853231208404,0.0311041483788723,0.0393884004995713,0.0112743156807857,0.0340620453203896,0.0155496755146874,0.0132904119897717,0.0192428418576251,0.02022570345432,0.0153078736067811,0.0197857119413469,0.0124107312677606,0.0096903776182469,0.0269502536012156,0.0392511462923284,0.0215618443307992,0.0145969855466017,0.0220134416955137,0.0304216030293657,0.0099956002264805,0.0114194905369821,0.0306582029903646,0.0117191127310491,0.0258694217952148,0.017375986787236,0.0250348860144408,0.0111972547880166,0.0393972470105421,0.0134404840987195,0.0262458615641646,0.0070367565364262,0.0368059808232906,0.0168745222375051,0.0176957444924569,0.0256302995885344,0.0234517497750454,0.0114437822505492,0.045709786822421,0.0146020376821871,0.0189393359678085,0.0291463200489074,0.0397471666851464,0.0219342192957718,0.0343164307183588,0.0091148933747556,0.009041317810912,0.0419473300616006,0.0121690758793517,0.0202185027148662,0.0111905765180312,0.0293937055945446,0.0366875174707373
"""Rat""",0.0261651337723887,0.0538151272943771,0.09551575411127,0.0110536638671656,0.0227128667760111,0.0226906520144332,0.0249184967503782,0.0337542966963986,0.0378077182995237,0.0367703808909481,0.0291093819353987,0.0489154580571141,0.0232156214879506,0.0226359343745787,0.1169974017592324,0.0116675927649873,0.0168305859732393,0.0409016769232494,0.0330767824362534,0.0251889531028701,0.0194662793320746,0.0143291427960206,0.0243464864309131,0.0130072029333794,0.0163298879191163,0.0606108051235096,0.0136496411776189,0.0418511975534219,0.0181231451863399,0.0219867828894505,0.0151566841392325,0.0341467378252253,0.024037824279166,0.0353474093644982,0.0151493326279252,0.0465087878129173,0.0159807163119834,0.0255760462394362,0.0535489355720006,0.0522823632985968,0.0132007776555532,0.0361723978340231,0.013840435080861,0.0200577503329161,0.0240699261299574,0.0586977941577896,0.0326487081580609,0.0411310159176548,0.0191262883237528,0.0221634887324758,0.0287150153536295,0.013874564709778,0.0288849778602951,0.01416231064947,0.0273987088750629,0.0364412477816818
