species,ENSG00000133226,ENSG00000116489,ENSG00000005810,ENSG00000131507,ENSG00000125944,ENSG00000125304,ENSG00000054118,ENSG00000163902,ENSG00000083896,ENSG00000090863,ENSG00000123338,ENSG00000109861,ENSG00000145907,ENSG00000254999,ENSG00000132485,ENSG00000125107,ENSG00000139218,ENSG00000124486,ENSG00000160633,ENSG00000152601,ENSG00000117676,ENSG00000197157,ENSG00000138071,ENSG00000048740,ENSG00000082898,ENSG00000134516,ENSG00000104529,ENSG00000198833,ENSG00000115875,ENSG00000164548,ENSG00000080503,ENSG00000149781,ENSG00000067082,ENSG00000152818,ENSG00000170348,ENSG00000169554,ENSG00000147677,ENSG00000164754,ENSG00000135905,ENSG00000166501,ENSG00000119396,ENSG00000070831,ENSG00000078304,ENSG00000147168,ENSG00000047410,ENSG00000110367,ENSG00000187239,ENSG00000136527,ENSG00000185811,ENSG00000101294,ENSG00000090060,ENSG00000129675,ENSG00000115415,ENSG00000104408,ENSG00000124831
"""Frog""",0.0522852422976023,0.0284209713610208,0.8171744991053852,0.0726429396719582,0.0724102089436031,0.1373514964141941,0.0710130516748148,0.0971246483730426,0.0429184556579548,0.1038777682854075,0.0698912074922598,0.1308339439891801,0.0443341186680441,0.0254484719906955,0.5240871513384169,0.0736742831864592,0.067161519680773,0.0762594816740636,0.0796959290120462,0.0564455343951481,0.0532723777637716,0.0751620075193484,0.0453428244533255,0.0493782687495972,0.155101288804111,0.0781488318125493,0.0515051631814863,0.1114427996040053,0.0484096863112646,0.4084538554838817,0.1058709913297945,0.0634404247534742,0.0500778604519559,0.1060523122772176,0.0541883896448289,0.0434299966163743,0.0264110763613026,0.1019251157765078,0.0781724569891755,0.0699877574647989,0.0486098756559099,0.0405460277132538,0.3529252476763117,0.1011400957199825,0.1098590115498179,0.1020728632246967,1.2651181828327749,0.0778620427461504,0.1021890377590819,0.1771142535194234,0.47051175082542,0.1145779028326298,0.0774274198752441,0.1436099002019251,0.0806090534697943
"""Human""",0.0425607625885573,0.0340465620547001,0.0306312671380331,0.0414017189138023,0.0320830347757651,0.0391681183173346,0.0308949012387518,0.0474345135308716,0.0387503809894859,0.0396695813017147,0.0447126795308689,0.0210903968666128,0.0457346331613572,0.0576670624636861,0.0363817747518498,0.0663863099878023,0.0392897116064504,0.058537801079952,0.0490271079951113,0.0123256021257225,0.0464951116378672,0.0526741007819155,0.0424745059766048,0.0202916829700412,0.0486650239099309,0.0437476179866792,0.0428346010338503,0.0441206283006512,0.0293960035803602,0.0564446064521477,0.0408541082973892,0.0362362266096361,0.020828551175649,0.0234512671052749,0.0448518814803802,0.0178015769144165,0.0245515857518438,0.0410915259028937,0.0239819576998071,0.0229952725200858,0.0597265859006226,0.0328972395902829,0.0268447315935034,0.0428346010338503,0.0326063204707168,0.0435744528322766,0.0318714384929565,0.0661723484420303,0.0239271359826205,0.0397149490813593,0.0449779804133752,0.0581150336326494,0.0261854588424026,0.0327298768372943,0.0215771615831533
"""Macaque""",0.034949364232501,0.0488798085842434,0.0350007135653833,0.0468971658507664,0.0649932399043962,0.0661204945964931,0.0388645862527127,0.0542876147311752,0.0548235898146186,0.0606600850438309,0.0700762783352157,0.0610525177099311,0.0646910566206098,0.0325257635755194,0.0399702396142772,0.1010443951441552,0.0548120499615488,0.0548916184153222,0.0563599450296337,0.0163058074459338,0.0725186323145187,0.0463250983351353,0.0470288222032063,0.0259843841003084,0.073138473118213,0.0434287294966738,0.0300844992496573,0.0728463288488212,0.0377515558534892,0.0543669480274517,0.0433477234607562,0.0514325789314666,0.0504811530516473,0.0273769526381153,0.0370583493468544,0.0296447999405124,0.0432649201417617,0.0356991577401053,0.0299218231646653,0.0388794115490944,0.0497983817835713,0.0225258704549465,0.0362309239406886,0.0317423750662674,0.0380820937598386,0.0635976137664655,0.03155145649264,0.0400753381675826,0.0300170775628827,0.0518614728832688,0.0599035021301637,0.0493459282435101,0.0307743959412961,0.0385297973741844,0.0484110000329981
"""Mouse""",0.0446967876847214,0.0452896416768331,0.0413670808819189,0.0417324546384731,0.0821448642143213,0.0555862097759141,0.0784293879637739,0.0591252819584888,0.0593616653397266,0.0555427006206838,0.0563042259244616,0.0437581217662495,0.0506502989145079,0.0500733581492976,0.0577030336028608,0.0714271141721047,0.044154628438455,0.0511826736187944,0.0588716983826053,0.022619815990188,0.0572079678195912,0.0497179100892413,0.0494871050372729,0.0286699705075056,0.1334888934752629,0.0189775291967975,0.0296501777813457,0.05277025412074,0.0335556371718386,0.0642660086918141,0.0408039472337058,0.0431520918055452,0.0501869618577723,0.0289765255455061,0.0588333062983172,0.1122908641792296,0.0211617716790412,0.0579460015473688,0.0187491100546196,0.0264210486877936,0.0573174632724216,0.0392759016674729,0.0591643568507219,0.0786842912498786,0.0374011627289112,0.056804075778346,0.0337628599311049,0.0398188744221364,0.0192669902807865,0.0386531517430748,0.0475095427037927,0.0603336430232213,0.0697070126363571,0.0292406964925364,0.0624761257106069
"""Pig""",0.0236483882180544,0.0179268675431703,0.0200835367158996,0.0244517292124639,0.0223121506234693,0.0278796168423748,0.0234239105822053,0.0354469017530635,0.0300891423709794,0.0304157427174465,0.0397198229180842,0.0151150400159987,0.028043333751503,0.0307363914186449,0.0225235365741704,0.0430276189805823,0.031886803413049,0.0413964463067267,0.0402977416295604,0.0131213330878498,0.0316548551349171,0.0251923289691322,0.0241685509964061,0.0196342318553548,0.0388230247264968,0.0225152131994984,0.0156238967830548,0.0383115130914206,0.0184597433766504,0.0379238228970149,0.0508674455968862,0.0355846133116678,0.0365589295772206,0.0222258952844999,0.0250485960748093,0.0786996949525112,0.0147850214238431,0.024907666265651,0.0141379996456945,0.0143082096122403,0.0389143257385914,0.0177204998183205,0.0363350208004123,0.0247150336990028,0.0254684947136453,0.0198936301887816,0.0245632479152148,0.0216148706999688,0.0215055852282429,0.028793829485087,0.0256481553768378,0.0381926808637266,0.0158928555792661,0.0218563877285751,0.0185512621880999
"""Rat""",0.0274501875658298,0.0254059546868079,0.0197071039585875,0.0337825432666533,0.0655009867639065,0.049629189668421,0.0383488802906059,0.0365399172189872,0.0657645759329985,0.0594847478698163,0.0570150513024173,0.0519570361679658,0.0319249714478422,0.037264704200411,0.0340724717991303,0.0396682095930684,0.0597201357282095,0.035140394887912,0.0551698285629141,0.0205868265474033,0.0380606829145971,0.0366496801699073,0.0231308288027435,0.0218476753146229,0.0683233802755463,0.0321532595393105,0.0196951572238468,0.0680147267376987,0.0226166260138062,0.0539482836750719,0.0388782039018316,0.0342598116733613,0.0464645532416268,0.0270940753124079,0.04087880017782,0.0396624123766409,0.0296075447850937,0.047919368393448,0.0195902995784209,0.0209307903672473,0.0494269084736522,0.0162699985672832,0.0451432876709249,0.0191773752124647,0.0278986544427919,0.0354907441155545,0.0389522893361587,0.0260499971917765,0.0174466141266477,0.0341926591960754,0.0319716541888218,0.0546757589546696,0.0199891050479906,0.0304431044882811,0.0412263503226634
