species,ENSG00000031823,ENSG00000119314,ENSG00000120690,ENSG00000135090,ENSG00000102760,ENSG00000064419,ENSG00000058272,ENSG00000121579,ENSG00000121774,ENSG00000114423,ENSG00000138814,ENSG00000170606,ENSG00000138758,ENSG00000080802,ENSG00000134644,ENSG00000178741,ENSG00000171497,ENSG00000177889,ENSG00000144802,ENSG00000100354,ENSG00000105968,ENSG00000081059,ENSG00000171681,ENSG00000005483,ENSG00000115464,ENSG00000055609,ENSG00000146247,ENSG00000150753,ENSG00000146285,ENSG00000120265,ENSG00000134996,ENSG00000104388,ENSG00000127922,ENSG00000198846,ENSG00000082153,ENSG00000184588,ENSG00000131196,ENSG00000247596,ENSG00000140396,ENSG00000101745,ENSG00000141027,ENSG00000069667,ENSG00000125676,ENSG00000030419,ENSG00000101972,ENSG00000065548,ENSG00000154001,ENSG00000213145,ENSG00000126561,ENSG00000114209,ENSG00000078596,ENSG00000103275,ENSG00000171700,ENSG00000125534,ENSG00000141293,ENSG00000025293
"""Frog""",0.0510943497029419,0.2365142573455979,0.0631774620653804,0.0836092754219393,0.0496950042592998,0.1199175921431809,0.164130165872204,0.0431734123274782,0.0572640588497995,0.0711829248307343,0.0773887855595796,0.7542863625738256,0.0893267982138069,0.1480301084954896,0.0539885505306081,0.0230906280999939,0.095668054272485,0.055554977972939,0.0693744429139902,0.0588093528459666,0.0382116626803144,0.0342778725777348,0.0644271838148278,0.0612983497257742,0.1287150699580066,0.0766678511825189,0.2289945035150107,0.0476953871369986,0.0625790651893488,0.1282199537151938,0.0562961759713071,0.1102220779718262,0.0517459808778964,0.2022874205418133,0.0927408665261978,0.0972286423980366,0.0645797484938275,0.05544185914385,0.0847606701368751,0.0800005606386784,0.0783740677932146,0.0630713231255273,0.0797509964874725,0.1091836045377799,0.0930165529254602,0.0632425872860967,0.0967472537652626,0.0182861509508521,0.1096202500192032,0.141755320447497,0.0392862441649145,0.0373903482651393,0.2025619740660289,0.0315381143175155,0.0733456547681833,0.0742874192898621
"""Human""",0.0765142370012701,0.0429869131486647,0.0217689655308164,0.0322422827107541,0.0415961419588525,0.0706763668078055,0.0357514515174576,0.0593516484172894,0.0353877683596791,0.0221452458586227,0.0364353528486493,0.1545099024450044,0.0753204558005951,0.0669033857351695,0.0581601799494083,0.0876310222807094,0.0494402384126355,0.0416621603598613,0.0584247500312425,0.0267187463098856,0.0268160962867375,0.0314906821673115,0.0265367847740229,0.0250266509123685,0.0358277486226422,0.0489843445641385,0.0444051453086952,0.0357123591430183,0.0238386380992524,0.0384230164748454,0.0331438880874123,0.045081726959994,0.0524289175874393,0.0231696065057993,0.0493693048649183,0.0701511408472768,0.0722951733939288,0.0463730499790604,0.0403533403228817,0.0291644739768613,0.0357907566825131,0.0422639917696868,0.050480569745364,0.0275249152409186,0.0557405417888331,0.0355781823851332,0.0673031530131664,0.046266481975316,0.0919146077202898,0.0363997310782599,0.0317337526042323,0.0591951562994855,0.0486054307804471,0.0203087569523321,0.0227959530857248,0.0510573040461311
"""Macaque""",0.0748257492921922,0.054699462674061,0.0555028298377848,0.0438332783449941,0.0445671454133367,0.0666158101526101,0.0456505332732177,0.0564277248703409,0.0656113664569196,0.0274670657091106,0.0359945948165785,0.0766763851046046,0.0620025903705052,0.0518398605789588,0.0631723060532608,0.0512559255854317,0.07880042812997,0.0531990191173104,0.0683606805373963,0.0337900431034583,0.0396113682281264,0.0257275837424115,0.0404007353671855,0.0389438156985403,0.0443269624497706,0.0395352620312619,0.0546421799383796,0.0665074135455114,0.0219936169276162,0.0576809898441593,0.0251862427843139,0.0536908227077653,0.0282406367095947,0.0241502771032104,0.0347930085192147,0.0675794810663195,0.0604090994530982,0.0546578819237129,0.0522415872247519,0.0486504790489364,0.068389225255385,0.0398304590303099,0.0521957112062013,0.0325190608425733,0.0437726566521572,0.0510124635677723,0.0622467757220259,0.0132121418640649,0.0634832513452011,0.050381593818583,0.0234894261287327,0.040810303267481,0.0375344248360533,0.0313115990826661,0.0283409197665669,0.0840435238063386
"""Mouse""",0.0737822832731449,0.0378226535772478,0.0444472893850978,0.0596826235813716,0.0502169089737696,0.0552481441140174,0.0430491130295642,0.0370916000253476,0.0347522456337919,0.0322673352757818,0.0330802801618118,0.0625356784395192,0.0989253937199979,0.0542140129859791,0.0543919436099949,0.024663980786036,0.0626183017140696,0.0650528126831739,0.056091449224422,0.0442987496354079,0.0311487763089478,0.0368832665646975,0.0371916548415074,0.0420339933759475,0.0543774673260865,0.048672794563793,0.0511826642555901,0.057649344622175,0.0424860913628367,0.0425872962770513,0.0308367154832455,0.0587400170133737,0.0314812339997268,0.0879147818430218,0.0317439683637386,0.0443616095440264,0.0606262000471493,0.0540996145324567,0.0473954951966211,0.036628522164212,0.0457619223472084,0.078715821394808,0.0560859981900911,0.049465488852001,0.0443025121520564,0.0526311924000729,0.0707692611897451,0.0234602408065222,0.0457325443437779,0.0350153175177722,0.0645286211521139,0.0444311373374768,0.0571661239786558,0.0511922436759071,0.0197541109603872,0.0615447681996126
"""Pig""",0.0576220155731118,0.0216339975553054,0.0231743176124332,0.0388600174447425,0.0307526367085354,0.0463691087322731,0.0237805987941436,0.0448752476336547,0.0300674253446715,0.0137689043423464,0.0224029067302283,0.0297648968622756,0.0302666952820493,0.0422076785288058,0.0431617627662365,0.0218614392409884,0.0489238420617829,0.0422478268668834,0.049879541802618,0.026485849722852,0.0173515521000959,0.0168169757845181,0.039091556130078,0.0214953930084331,0.0284233518470493,0.0260297933593626,0.0264984306952318,0.0269879059300295,0.0197923064664032,0.0356802682834736,0.0172174137011031,0.0301017414876829,0.0182558440129843,0.0161593684167218,0.0222084514037523,0.0302871924809279,0.0454575942960643,0.0333370800153027,0.0253936793627044,0.0200978925358014,0.0352393006036794,0.0213062903781086,0.0368474510174093,0.0179264788244972,0.0314660954961008,0.0340851889657355,0.0379617485811316,0.010961082582824,0.0811524332478454,0.0308176908676766,0.065981689338305,0.0263464029883592,0.0199601677008815,0.0288010797684146,0.0137410019659758,0.0457745689042303
"""Rat""",0.0972304367757844,0.031011395639992,0.0464047762359231,0.0393822332453117,0.0373743269651394,0.0787025787780166,0.0283653350314426,0.0689569115865626,0.0360669820107564,0.0264308250673965,0.0347056275257644,0.041472935127085,0.0342993427412109,0.0391873880071122,0.0464718036612762,0.0330788652162962,0.0806114087563325,0.0382668688554047,0.0575762294202255,0.027649291245092,0.0173592103642212,0.0137911190930389,0.0405827907615394,0.0269871472111136,0.0506556478977497,0.0359372508485673,0.05145033511265,0.026669068870201,0.0217533817194231,0.0727621370008451,0.0343944955570583,0.0618998878274435,0.0337913776580498,0.0241816935060719,0.0508798228897211,0.0334932440421407,0.0440248097112442,0.0374021328357343,0.0856108335892657,0.04378374794036,0.0278277702108644,0.0564134806837688,0.0464459552193659,0.0211226666979809,0.0383159102415753,0.0393426302989486,0.0924151810078495,0.0106063960158464,0.0339249092782752,0.0323464546716098,0.042914708211191,0.0692864165426489,0.0437591244929104,0.0256978838383742,0.0149112939616201,0.0608950603277103
